Date,Gold_Price,dGold
1970-01-01,35.09,-0.0799999999999983
1970-04-01,35.42,0.3299999999999983
1970-07-01,36.19,0.769999999999996
1970-10-01,37.44,1.25
1971-01-01,38.87,1.4299999999999997
1971-04-01,40.1,1.230000000000004
1971-07-01,42.03,1.9299999999999997
1971-10-01,43.48,1.4499999999999957
1972-01-01,48.33,4.850000000000001
1972-04-01,62.09,13.760000000000005
1972-07-01,65.46,3.3699999999999903
1972-10-01,63.91,-1.5499999999999972
1973-01-01,84.37,20.460000000000008
1973-04-01,120.12,35.75
1973-07-01,102.97,-17.150000000000006
1973-10-01,106.72,3.75
1974-01-01,168.42,61.69999999999999
1974-04-01,154.1,-14.319999999999993
1974-07-01,151.75,-2.3499999999999943
1974-10-01,183.78,32.03
1975-01-01,178.16,-5.6200000000000045
1975-04-01,164.24,-13.919999999999987
1975-07-01,144.17,-20.07000000000002
1975-10-01,139.3,-4.869999999999976
1976-01-01,132.76,-6.5400000000000205
1976-04-01,125.71,-7.049999999999997
1976-07-01,114.15,-11.559999999999988
1976-10-01,133.93,19.78
1977-01-01,148.23,14.299999999999983
1977-04-01,140.78,-7.449999999999989
1977-07-01,149.53,8.75
1977-10-01,160.45,10.919999999999987
1978-01-01,183.61,23.160000000000025
1978-04-01,183.75,0.13999999999998636
1978-07-01,212.08,28.330000000000013
1978-10-01,207.85,-4.230000000000018
1979-01-01,242.05,34.20000000000002
1979-04-01,279.07,37.01999999999998
1979-07-01,354.95,75.88
1979-10-01,455.08,100.13
1980-01-01,553.58,98.50000000000006
1980-04-01,600.72,47.139999999999986
1980-07-01,673.63,72.90999999999997
1980-10-01,538.26,-135.37
1981-01-01,499.11,-39.14999999999998
1981-04-01,461.09,-38.02000000000004
1981-07-01,443.75,-17.339999999999975
1981-10-01,410.09,-33.660000000000025
1982-01-01,330.25,-79.83999999999997
1982-04-01,314.98,-15.269999999999982
1982-07-01,437.31,122.32999999999998
1982-10-01,444.5,7.189999999999998
1983-01-01,419.7,-24.80000000000001
1983-04-01,412.84,-6.860000000000014
1983-07-01,411.8,-1.0399999999999636
1983-10-01,388.34,-23.460000000000036
1984-01-01,394.26,5.920000000000016
1984-04-01,377.7,-16.560000000000002
1984-07-01,340.2,-37.5
1984-10-01,319.54,-20.659999999999968
1985-01-01,313.5,-6.0400000000000205
1985-04-01,316.5,3.0
1985-07-01,323.35,6.850000000000023
1985-10-01,321.9,-1.4500000000000455
1986-01-01,345.7,23.80000000000001
1986-04-01,342.7,-3.0
1986-07-01,417.73,75.03000000000003
1986-10-01,390.92,-26.810000000000002
1987-01-01,408.91,17.99000000000001
1987-04-01,449.59,40.67999999999995
1987-07-01,460.38,10.79000000000002
1987-10-01,486.24,25.860000000000014
1988-01-01,443.61,-42.629999999999995
1988-04-01,451.33,7.71999999999997
1988-07-01,413.46,-37.870000000000005
1988-10-01,419.05,5.590000000000032
1989-01-01,390.15,-28.900000000000034
1989-04-01,367.6,-22.549999999999955
1989-07-01,361.75,-5.850000000000023
1989-10-01,409.39,47.639999999999986
1990-01-01,393.06,-16.329999999999984
1990-04-01,352.33,-40.73000000000002
1990-07-01,389.32,36.99000000000001
1990-10-01,376.95,-12.370000000000005
1991-01-01,363.34,-13.610000000000014
1991-04-01,366.72,3.3800000000000523
1991-07-01,348.74,-17.980000000000018
1991-10-01,361.73,12.990000000000009
1992-01-01,344.34,-17.390000000000043
1992-04-01,340.81,-3.5299999999999727
1992-07-01,345.43,4.6200000000000045
1992-10-01,334.82,-10.610000000000014
1993-01-01,330.08,-4.740000000000009
1993-04-01,371.89,41.81
1993-07-01,355.28,-16.610000000000014
1993-10-01,383.3,28.02000000000004
1994-01-01,384.13,0.8299999999999841
1994-04-01,385.64,1.509999999999991
1994-07-01,391.58,5.939999999999998
1994-10-01,379.29,-12.289999999999964
1995-01-01,382.12,2.829999999999984
1995-04-01,387.56,5.439999999999998
1995-07-01,383.06,-4.5
1995-10-01,387.44,4.3799999999999955
1996-01-01,396.21,8.769999999999982
1996-04-01,385.27,-10.939999999999998
1996-07-01,383.14,-2.1299999999999955
1996-10-01,369.0,-14.139999999999986
1997-01-01,351.81,-17.189999999999998
1997-04-01,340.76,-11.050000000000011
1997-07-01,322.82,-17.939999999999998
1997-10-01,288.74,-34.079999999999984
1998-01-01,295.94,7.199999999999989
1998-04-01,292.32,-3.6200000000000045
1998-07-01,288.98,-3.339999999999975
1998-10-01,291.68,2.6999999999999886
1999-01-01,285.96,-5.720000000000027
1999-04-01,261.31,-24.649999999999977
1999-07-01,264.74,3.430000000000007
1999-10-01,283.07,18.329999999999984
2000-01-01,286.39,3.319999999999993
2000-04-01,285.73,-0.6599999999999682
2000-07-01,273.68,-12.050000000000011
2000-10-01,271.45,-2.230000000000018
2001-01-01,263.03,-8.420000000000016
2001-04-01,270.23,7.2000000000000455
2001-07-01,283.42,13.189999999999998
2001-10-01,275.85,-7.569999999999993
2002-01-01,294.06,18.20999999999998
2002-04-01,321.18,27.120000000000005
2002-07-01,319.14,-2.0400000000000205
2002-10-01,331.92,12.78000000000003
2003-01-01,340.55,8.629999999999995
2003-04-01,356.352,15.801999999999964
2003-07-01,378.945,22.593000000000018
2003-10-01,406.953,28.00799999999998
2004-01-01,406.667,-0.28600000000000136
2004-04-01,392.373,-14.293999999999983
2004-07-01,405.275,12.901999999999987
2004-10-01,442.079,36.80400000000003
2005-01-01,433.85,-8.228999999999985
2005-04-01,430.657,-3.1930000000000405
2005-07-01,456.048,25.39100000000002
2005-10-01,510.097,54.04899999999998
2006-01-01,557.093,46.99599999999998
2006-04-01,596.145,39.05200000000002
2006-07-01,598.186,2.0410000000000537
2006-10-01,629.791,31.605000000000018
2007-01-01,654.895,25.103999999999928
2007-04-01,655.66,0.7649999999999864
2007-07-01,712.653,56.99300000000005
2007-10-01,803.203,90.54999999999995
2008-01-01,968.434,165.231
2008-04-01,889.488,-78.94599999999991
2008-07-01,829.932,-59.55600000000004
2008-10-01,816.092,-13.840000000000032
2009-01-01,924.273,108.18100000000004
2009-04-01,945.67,21.396999999999935
2009-07-01,996.591,50.92100000000005
2009-10-01,1134.724,138.13299999999992
2010-01-01,1113.337,-21.386999999999944
2010-04-01,1232.92,119.58300000000008
2010-07-01,1270.977,38.057000000000016
2010-10-01,1390.553,119.57600000000002
2011-01-01,1423.26,32.70699999999988
2011-04-01,1529.36,106.09999999999991
2011-07-01,1772.14,242.7800000000002
2011-10-01,1639.97,-132.17000000000007
2012-01-01,1675.95,35.98000000000002
2012-04-01,1598.76,-77.19000000000005
2012-07-01,1744.81,146.04999999999995
2012-10-01,1684.762,-60.048
2013-01-01,1593.086,-91.67599999999993
2013-04-01,1343.35,-249.7360000000001
2013-07-01,1348.6,5.25
2013-10-01,1221.512,-127.08799999999997
2014-01-01,1336.08,114.56799999999998
2014-04-01,1279.1,-56.98000000000002
2014-07-01,1236.55,-42.549999999999955
2014-10-01,1200.62,-35.930000000000064
2015-01-01,1178.63,-21.98999999999978
2015-04-01,1181.5,2.869999999999891
2015-07-01,1124.77,-56.73000000000002
2015-10-01,1075.74,-49.02999999999997
2016-01-01,1245.14,169.4000000000001
2016-04-01,1276.4,31.25999999999999
2016-07-01,1326.61,50.20999999999981
2016-10-01,1157.36,-169.25
2017-01-01,1231.42,74.06000000000017
2017-04-01,1260.26,28.839999999999918
2017-07-01,1314.07,53.809999999999945
2017-10-01,1264.45,-49.61999999999989
2018-01-01,1324.66,60.210000000000036
2018-04-01,1281.57,-43.090000000000146
2018-07-01,1198.39,-83.17999999999984
2018-10-01,1250.4,52.00999999999999
2019-01-01,1300.9,50.5
2019-04-01,1359.04,58.13999999999987
2019-07-01,1510.58,151.53999999999996
2019-10-01,1479.13,-31.449999999999818
2020-01-01,1591.93,112.79999999999995
2020-04-01,1732.22,140.28999999999996
2020-07-01,1921.92,189.70000000000005
2020-10-01,1858.42,-63.5
2021-01-01,1718.23,-140.19000000000005
2021-04-01,1834.57,116.33999999999992
2021-07-01,1775.14,-59.429999999999836
2021-10-01,1790.43,15.289999999999964
2022-01-01,1947.83,157.39999999999986
2022-04-01,1836.57,-111.25999999999999
2022-07-01,1680.78,-155.78999999999996
2022-10-01,1797.55,116.76999999999998
2023-01-01,1912.73,115.18000000000006
2023-04-01,1942.9,30.170000000000073
2023-07-01,1915.95,-26.950000000000045
2023-10-01,2026.18,110.23000000000002
2024-01-01,2158.01,131.83000000000015
2024-04-01,2326.44,168.42999999999984
2024-07-01,2570.55,244.11000000000013
2024-10-01,2648.01,77.46000000000004
2025-01-01,2983.25,335.2399999999998
2025-04-01,3352.66,369.40999999999985
2025-07-01,3667.68,315.02
2025-10-01,4309.23,641.5499999999997
2026-01-01,5019.97,710.7400000000007
